지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41665.45833,23
90,41665.5,51
90,41665.54167,46
90,41665.58333,41
90,41665.625,34
90,41665.66667,45
90,41665.70833,33
90,41665.75,38
90,41665.79167,36
90,41665.83333,37
90,41665.875,32
90,41665.91667,22
90,41665.95833,21
90,41666,30
90,41666.04167,16
90,41666.08333,20
90,41666.125,21
90,41666.16667,16
90,41666.20833,21
90,41666.25,17
90,41666.29167,28
90,41666.33333,36
90,41666.375,43
90,41666.41667,68
90,41666.45833,32
90,41666.5,22
90,41666.54167,13
90,41666.58333,25
90,41666.625,22
90,41666.66667,21
90,41666.70833,25
90,41666.75,36
90,41666.79167,32
90,41666.83333,25
90,41666.875,21
90,41666.91667,23
90,41666.95833,18
90,41667,20
90,41667.04167,11
90,41667.08333,26
90,41667.125,22
90,41667.16667,18
90,41667.20833,18
90,41667.25,20
90,41667.29167,37
90,41667.33333,41
90,41667.375,43
90,41667.41667,37
90,41667.45833,34
90,41667.5,34
90,41667.54167,42
90,41667.58333,44
90,41667.625,43
90,41667.66667,40
90,41667.70833,36
90,41667.75,43
90,41667.79167,36
90,41667.83333,30
90,41667.875,31
90,41667.91667,26
90,41667.95833,27
90,41668,19
90,41668.04167,22
90,41668.08333,21
90,41668.125,19
90,41668.16667,19
90,41668.20833,22
90,41668.25,18
90,41668.29167,13
90,41668.33333,20
90,41668.375,26
90,41668.41667,24
90,41668.45833,36
90,41668.5,24
90,41668.54167,14
90,41668.58333,15
90,41668.625,13
90,41668.66667,11
90,41668.70833,12
90,41668.75,20
90,41668.79167,14
90,41668.83333,7
90,41668.875,10
90,41668.91667,8
90,41668.95833,11
90,41669,16
90,41669.04167,31
90,41669.08333,46
90,41669.125,69
90,41669.16667,69
90,41669.20833,68
90,41669.25,67
90,41669.29167,69
90,41669.33333,75
90,41669.375,53
90,41669.41667,35
90,41669.45833,8
90,41669.5,4
90,41669.54167,17
90,41669.58333,10
90,41669.625,49
90,41669.66667,47
90,41669.70833,50
90,41669.75,59
90,41669.79167,58
90,41669.83333,40
90,41669.875,37
90,41669.91667,24
90,41669.95833,15
90,41670,13
90,41670.04167,5
90,41670.08333,13
90,41670.125,11
90,41670.16667,13
90,41670.20833,11
90,41670.25,12
90,41670.29167,14
90,41670.33333,14
90,41670.375,13
90,41670.41667,18
90,41670.45833,12
90,41670.5,18
90,41670.54167,17
90,41670.58333,15
90,41670.625,14
90,41670.66667,28
90,41670.70833,24
90,41670.75,23
90,41670.79167,28
90,41670.83333,22
90,41670.875,24
90,41670.91667,24
90,41670.95833,25
90,41671,20
90,41671.04167,18
90,41671.08333,32
90,41671.125,30
90,41671.16667,25
90,41671.20833,23
90,41671.25,29
90,41671.29167,26
90,41671.33333,33
90,41671.375,24
90,41671.41667,28
90,41671.45833,25
90,41671.5,27
90,41671.54167,20
90,41671.58333,22
90,41671.625,18
90,41671.66667,12
90,41671.70833,6
90,41671.75,9
90,41671.79167,11
90,41671.83333,12
90,41671.875,8
90,41671.91667,6
90,41671.95833,8
90,41672,11
90,41672.04167,17
90,41672.08333,24
90,41672.125,21
90,41672.16667,19
90,41672.20833,16
90,41672.25,17
90,41672.29167,13
90,41672.33333,21
90,41672.375,14
90,41672.41667,24
90,41672.45833,25
90,41672.5,26
90,41672.54167,27
90,41672.58333,30
90,41672.625,40
90,41672.66667,40
90,41672.70833,42
90,41672.75,47
90,41672.79167,47
90,41672.83333,42
90,41672.875,45
90,41672.91667,48
90,41672.95833,42
90,41673,42
90,41673.04167,45
90,41673.08333,16
90,41673.125,20
90,41673.16667,21
90,41673.20833,27
90,41673.25,32
90,41673.29167,48
90,41673.33333,57
90,41673.375,69
90,41673.41667,63
90,41673.45833,67
90,41673.5,65
90,41673.54167,68
90,41673.58333,74
90,41673.625,81
90,41673.66667,90
90,41673.70833,92
90,41673.75,83
90,41673.79167,49
90,41673.83333,46
90,41673.875,33
90,41673.91667,43
90,41673.95833,35
90,41674,29
90,41674.04167,19
90,41674.08333,28
90,41674.125,25
90,41674.16667,25
90,41674.20833,25
90,41674.25,22
90,41674.29167,26
90,41674.33333,26
90,41674.375,27
90,41674.41667,40
90,41674.45833,31
90,41674.5,22
90,41674.54167,23
90,41674.58333,20
90,41674.625,17
90,41674.66667,21
90,41674.70833,12
90,41674.75,27
90,41674.79167,22
90,41674.83333,14
90,41674.875,19
90,41674.91667,22
90,41674.95833,23
90,41675,30
90,41675.04167,39
90,41675.08333,24
90,41675.125,33
90,41675.16667,29
90,41675.20833,31
90,41675.25,37
90,41675.29167,32
90,41675.33333,38
90,41675.375,35
90,41675.41667,39
90,41675.45833,40
90,41675.5,41
90,41675.54167,39
90,41675.58333,39
90,41675.625,37
90,41675.66667,33
90,41675.70833,35
90,41675.75,39
90,41675.79167,42
90,41675.83333,38
90,41675.875,35
90,41675.91667,34
90,41675.95833,34
90,41676,20
90,41676.04167,36
90,41676.08333,26
90,41676.125,23
90,41676.16667,23
90,41676.20833,26
90,41676.25,32
90,41676.29167,24
90,41676.33333,23
90,41676.375,26
90,41676.41667,26
90,41676.45833,32
90,41676.5,29
90,41676.54167,25
90,41676.58333,33
90,41676.625,28
90,41676.66667,28
90,41676.70833,24
90,41676.75,26
90,41676.79167,22
90,41676.83333,28
90,41676.875,10
90,41676.91667,21
90,41676.95833,22
90,41677,21
90,41677.04167,9
90,41677.08333,19
90,41677.125,15
90,41677.16667,25
90,41677.20833,15
90,41677.25,11
90,41677.29167,13
90,41677.33333,22
90,41677.375,18
90,41677.45833,19
90,41677.5,13
90,41677.54167,18
90,41677.58333,22
90,41677.625,19
90,41677.66667,18
90,41677.70833,17
90,41677.75,16
90,41677.79167,19
90,41677.83333,26
90,41677.875,23
90,41677.91667,23
90,41677.95833,23
90,41678,27
90,41678.04167,23
90,41678.08333,16
90,41678.125,19
90,41678.16667,15
90,41678.20833,16
90,41678.25,18
90,41678.29167,16
90,41678.33333,16
90,41678.375,13
90,41678.41667,15
90,41678.45833,15
90,41678.5,19
90,41678.54167,20
90,41678.58333,19
90,41678.625,21
90,41678.66667,20
90,41678.70833,16
90,41678.75,24
90,41678.79167,20
90,41678.83333,14
90,41678.875,16
90,41678.91667,15
90,41678.95833,12
90,41679,12
90,41679.04167,6
90,41679.08333,7
90,41679.125,5
90,41679.16667,7
90,41679.20833,8
90,41679.25,5
90,41679.29167,4
90,41679.33333,6
90,41679.375,6
90,41679.41667,12
90,41679.45833,18
90,41679.5,11
90,41679.54167,14
90,41679.58333,10
90,41679.625,16
90,41679.66667,18
90,41679.70833,22
90,41679.75,22
90,41679.79167,24
90,41679.83333,24
90,41679.875,17
90,41679.91667,19
90,41679.95833,20
90,41680,25
90,41680.04167,20
90,41680.08333,26
90,41680.125,27
90,41680.16667,30
90,41680.20833,34
90,41680.25,29
90,41680.29167,26
